"id_direccion";"alias";"id_renabap";"manzana_renabap";"terreno_renabap";"latitud";"longitud";"calle_declarada";"altura_declarada";"esquina_declarada";"direccion_en_cvf";"es_ubicable";"direccion_normalizada";"calle";"altura";"piso";"depto";"manzana";"sector";"torre";"cp";"parcela";"lote";"entre_calle_1";"entre_calle_2";"calle_esquina";"casa";"terreno";"pasillo";"pasaje";"referencia_auxiliar";"observaciones";"tira";"chacra";"macizo";"seccion";"ruta";"km";"id_revision_dir"
1344049;"FF2_2403487";1786;"19";"21";-60.70494507;-32.90928233;"OLAVARRIA";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1326342;"FF2_2385714";1786;"15";"110";-60.7046099;-32.912666;"COLVER";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
690750;"FF2_599832";1786;"5";"172";-32.91183268;-60.70550195;"";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1326437;"FF2_2385809";1786;"7";"26";-60.70252405;-32.91075956;"CABAL";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1321174;"FF2_2380521";1786;"35";"3";-60.70087833;-32.91299667;"OTTONE";"1300";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1347420;"FF2_2406868";1786;"20";"3";-60.70470018;-32.91038791;"OLAVARRIA";"1600BIS";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1351254;"FF2_2410726";1786;"8";"63";-60.7064379;-32.9097539;"GARZON 1536 BIS";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1352008;"FF2_2411485";1786;"35";"11";-60.7057379;-32.9115212;"SAN CAYETANO";"1400";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
699015;"FF2_608112";1786;"11";"7";-32.91115277;-60.7056468;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1416755;"FF2_2476820";1786;"7";"33";-60.70211667;-32.91120667;"SAN JOSE";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1360718;"FF2_2420226";1786;"39";"36";-60.7050371;-32.9125681;"OLAVARRIA";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
7848;"FF2_008646";1786;"1";"44";-32.91403031;-60.70475754;"Olavarria 1219 Bis";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1344016;"FF2_2403454";1786;"18";"37";-60.7040302;-32.9099788;"NAMUCURA";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1341531;"FF2_2400959";1786;"14";"60";-60.70388167;-32.91333667;"OLAVARRIA";"1350";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";"";"";"";"";"";"";"";"";""
1344839;"FF2_2404282";1786;"13";"30";-60.7053686;-32.9089896;"SANTA INES";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
690978;"FF2_600060";1786;"15";"9";-32.91217306;-60.70458943;"Olavarria 1380 Bis";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1325573;"FF2_2384943";1786;"40";"54";-60.70306339;-32.91301719;"CABAL";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1345463;"FF2_2404908";1786;"9";"4";-60.7057613;-32.9086755;"GARZON";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
689009;"FF2_598090";1786;"17";"5";-32.91040421;-60.70464206;"Olavarria 1600 Bis";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1343336;"FF2_2402771";1786;"18";"12";-60.70470667;-32.90918333;"OLAVARRIA";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1344415;"FF2_2403857";1786;"20";"13";-60.70324271;-32.91027906;"CABAL";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1347409;"FF2_2406857";1786;"15";"62";-60.7033239;-32.9126405;"MAXIMILIANO COLBER";"2612";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
684979;"FF2_594059";1786;"18";"36";-32.91004927;-60.70398482;"";"";"";"MARTÍNEZ ESTRADA entre CALLE 1482 BIS y OLAVARRÍA BIS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1433516;"FF2_2497209";1786;"46";"16";-60.7032412;-32.9137475;"MARIANO CABAL";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1353666;"FF2_2413148";1786;"6";"3";-60.7063719;-32.9113341;"GARZON";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1346628;"FF2_2406075";1786;"41";"31";-60.7042082;-32.9137362;"";"1268";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"OLEVARRIA";"";"";"";"";"";"";"";"";"";""
1346675;"FF2_2406122";1786;"7";"13";-60.7060117;-32.9099732;"";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
